ìsìπï{åß	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81
ï∫å…åß	"24,000"	"28,580"	"19,520"	"16,470"	"14,710"	"18,740"	"34,680"	"28,970"	"27,590"	"35,540"	"32,560"	"27,730"	"27,120"	"22,540"	"24,080"	"37,190"	"24,920"	"26,400"	"33,160"	"32,880"	"23,870"	"29,860"	"41,450"	"30,360"	"22,970"	"36,970"	"34,370"	"53,840"	"42,030"	"43,210"	"48,660"	"41,550"	"36,770"	"53,420"	"54,000"	"39,240"	"46,890"	"50,680"	"62,410"	"69,440"	"52,340"	"51,330"	"60,700"	"58,700"	"55,570"	"58,610"	"72,390"	"58,850"	"59,470"	"85,780"	"92,540"	"138,350"	"98,080"	"104,070"	"116,020"	"94,740"	"85,940"	"125,030"	"120,010"	"87,000"	"74,910"	"97,980"	"94,600"	"135,340"	"91,430"	"93,420"	"101,840"	"84,160"	"75,580"	"91,610"	"98,540"	"80,340"	"103,230"	"78,190"	"103,330"	"123,330"	"100,430"	"81,370"	"107,040"	"88,950"	"84,440"
ìﬁó«åß	"2,110"	"3,350"	"3,850"	"2,830"	"2,310"	"2,690"	"3,300"	"3,210"	"3,320"	"2,680"	"2,980"	"1,910"	"4,520"	"6,560"	"9,650"	"14,300"	"8,920"	"5,270"	"10,160"	"11,520"	"9,270"	"9,320"	"8,430"	"6,370"	"5,270"	"5,490"	"9,870"	"25,240"	"16,830"	"13,050"	"13,240"	"15,900"	"12,400"	"15,820"	"18,990"	"12,480"	"5,260"	"6,820"	"8,460"	"23,690"	"13,580"	"10,590"	"15,050"	"15,440"	"11,960"	"13,190"	"10,940"	"10,270"	"6,300"	"17,220"	"17,980"	"30,300"	"21,640"	"21,990"	"31,400"	"31,020"	"21,540"	"21,020"	"20,200"	"18,010"	"16,250"	"23,800"	"26,450"	"34,010"	"23,340"	"27,850"	"39,020"	"38,120"	"22,590"	"19,200"	"21,280"	"15,930"	"21,730"	"18,640"	"26,190"	"34,700"	"25,500"	"22,770"	"34,930"	"36,590"	"23,590"
òaâÃéRåß	"5,080"	"8,310"	"4,480"	"1,970"	"3,200"	"5,540"	"5,090"	"5,390"	"4,050"	"5,780"	"8,540"	"6,460"	"10,810"	"5,490"	"9,800"	"13,690"	"6,870"	"8,030"	"10,130"	"9,280"	"9,340"	"10,570"	"13,190"	"9,730"	"5,730"	"13,440"	"17,040"	"20,830"	"15,380"	"16,600"	"20,080"	"16,890"	"17,000"	"14,710"	"16,450"	"12,960"	"16,910"	"18,840"	"28,040"	"30,300"	"19,010"	"13,900"	"23,240"	"23,100"	"20,860"	"31,380"	"33,370"	"25,840"	"15,990"	"26,370"	"41,540"	"46,990"	"35,710"	"37,220"	"39,140"	"41,190"	"21,630"	"40,610"	"47,950"	"40,300"	"32,870"	"36,440"	"53,340"	"71,260"	"42,740"	"44,550"	"51,800"	"51,710"	"38,210"	"57,010"	"46,240"	"31,190"	"32,380"	"24,850"	"43,510"	"64,190"	"41,180"	"36,040"	"47,520"	"42,780"	"46,580"
íπéÊåß	"2,320"	"3,170"	"1,660"	860	"1,140"	"2,330"	"3,790"	"3,090"	"3,380"	"3,470"	"2,670"	"3,930"	"3,000"	"3,030"	"2,680"	"4,940"	"4,210"	"3,230"	"2,850"	"3,590"	"2,430"	"2,980"	"3,850"	"2,700"	"2,550"	"3,310"	"2,580"	"4,040"	"3,850"	"5,040"	"3,910"	"4,990"	"4,410"	"3,500"	"4,460"	"4,200"	"5,090"	"4,870"	"2,950"	"5,510"	"4,790"	"3,910"	"5,810"	"5,940"	"4,130"	"6,110"	"4,820"	"4,900"	"10,390"	"11,510"	"12,080"	"8,710"	"7,820"	"6,210"	"6,940"	"6,800"	"5,460"	"9,380"	"10,520"	"7,610"	"7,670"	"8,490"	"7,790"	"9,390"	"7,560"	"7,090"	"8,660"	"8,730"	"9,430"	"9,500"	"7,310"	"8,720"	"9,620"	"6,710"	"8,760"	"10,010"	"10,010"	"10,380"	"15,100"	"13,640"	"11,750"
ìáç™åß	"1,030"	"1,450"	600	490	"1,720"	720	"1,220"	"1,720"	"1,690"	"2,190"	"2,080"	920	"2,070"	"1,240"	"1,030"	"1,970"	"1,200"	850	"1,610"	"3,370"	780	"1,600"	"1,230"	980	590	960	870	"2,250"	"1,670"	"1,190"	"2,570"	"2,880"	"1,850"	"1,560"	"1,700"	910	"1,410"	"2,010"	"1,230"	"2,220"	"3,410"	"1,990"	"2,570"	"2,890"	"1,990"	"3,420"	"2,960"	"1,910"	"1,760"	"1,950"	"2,190"	"5,270"	"3,010"	"2,930"	"3,600"	"3,580"	"2,720"	"4,790"	"5,480"	"5,670"	"2,740"	"3,710"	"4,270"	"7,100"	"6,960"	"3,650"	"4,870"	"5,240"	"4,800"	"7,370"	"4,530"	"3,060"	"3,090"	"2,590"	"3,880"	"6,860"	"4,120"	"2,980"	"5,660"	"4,220"	"3,710"
â™éRåß	"4,810"	"3,990"	"3,640"	"2,820"	"3,570"	"4,250"	"6,520"	"7,480"	"5,940"	"5,460"	"6,780"	"3,770"	"5,140"	"3,800"	"5,570"	"11,500"	"6,460"	"7,520"	"7,510"	"7,530"	"6,530"	"7,600"	"6,400"	"3,300"	"2,950"	"3,680"	"6,020"	"10,650"	"6,690"	"6,000"	"7,600"	"9,820"	"6,030"	"10,470"	"10,410"	"5,640"	"4,790"	"4,800"	"7,190"	"12,000"	"8,690"	"7,260"	"12,170"	"14,010"	"9,310"	"10,910"	"12,960"	"6,870"	"5,890"	"8,870"	"10,440"	"18,460"	"13,880"	"11,720"	"16,880"	"19,880"	"13,410"	"17,850"	"19,710"	"13,560"	"10,560"	"16,320"	"21,030"	"37,390"	"26,060"	"23,980"	"24,930"	"22,700"	"20,770"	"29,540"	"30,500"	"18,020"	"23,630"	"20,410"	"32,650"	"47,420"	"32,390"	"31,560"	"49,650"	"36,400"	"32,510"
çLìáåß	"13,710"	"12,910"	"11,880"	"9,990"	"12,130"	"10,440"	"15,440"	"17,070"	"14,370"	"20,870"	"18,000"	"12,830"	"19,840"	"18,840"	"30,800"	"48,640"	"32,510"	"28,890"	"40,100"	"49,100"	"38,070"	"39,430"	"30,680"	"24,230"	"18,380"	"17,990"	"30,550"	"41,960"	"29,870"	"24,720"	"36,280"	"38,000"	"37,810"	"40,450"	"29,560"	"20,220"	"20,940"	"17,040"	"34,030"	"58,320"	"36,910"	"25,960"	"48,080"	"46,990"	"41,170"	"44,230"	"35,500"	"25,860"	"32,660"	"34,560"	"54,140"	"83,360"	"58,610"	"62,830"	"76,280"	"75,580"	"61,240"	"76,190"	"71,530"	"53,640"	"43,590"	"42,260"	"78,330"	"110,970"	"79,620"	"71,500"	"78,210"	"73,740"	"67,540"	"84,080"	"63,990"	"45,890"	"47,560"	"50,820"	"63,700"	"145,420"	"86,650"	"69,520"	"85,670"	"80,840"	"65,420"
éRå˚åß	"2,450"	"2,510"	"2,240"	"1,800"	"2,990"	"2,810"	"3,060"	"4,470"	"3,930"	"3,130"	"3,920"	"3,710"	"3,570"	"3,550"	"4,440"	"5,340"	"4,460"	"3,830"	"4,720"	"3,250"	"3,210"	"4,500"	"4,240"	"3,070"	"3,370"	"4,480"	"4,350"	"3,380"	"4,230"	"3,290"	"5,120"	"4,440"	"3,700"	"3,520"	"3,390"	"2,940"	"5,570"	"4,560"	"5,540"	"4,980"	"4,650"	"4,210"	"3,760"	"3,860"	"3,930"	"4,920"	"5,060"	"5,630"	"7,320"	"7,730"	"9,660"	"10,830"	"5,310"	"6,830"	"12,070"	"9,960"	"10,530"	"11,840"	"6,930"	"10,410"	"7,790"	"9,600"	"9,900"	"10,210"	"8,910"	"6,510"	"5,690"	"5,500"	"5,670"	"7,290"	"7,840"	"7,620"	"8,600"	"9,700"	"9,470"	"10,540"	"8,480"	"7,050"	"6,550"	"7,310"	"7,100"
ìøìáåß	"1,550"	"1,340"	740	"1,110"	"1,240"	"1,370"	"2,210"	"1,280"	"2,890"	"2,260"	"2,270"	"1,060"	"1,040"	"2,750"	"2,720"	"9,470"	"7,870"	"8,250"	"1,950"	"1,660"	"2,570"	"2,410"	"2,630"	"1,770"	760	920	"1,590"	"4,120"	"2,190"	"1,460"	"3,110"	"6,370"	"2,750"	"2,810"	"3,790"	"2,470"	"1,800"	"1,870"	"2,610"	"3,560"	"2,430"	"2,380"	"3,230"	"3,900"	"2,320"	"3,730"	"4,750"	"3,370"	"2,110"	"2,810"	"3,810"	"5,970"	"4,410"	"4,790"	"8,220"	"5,640"	"3,790"	"5,720"	"7,280"	"3,770"	"3,330"	"5,130"	"5,570"	"6,710"	"4,910"	"4,670"	"5,430"	"6,330"	"5,910"	"7,950"	"8,340"	"5,190"	"3,880"	"3,710"	"6,900"	"11,360"	"8,240"	"7,070"	"8,510"	"8,930"	"6,370"
çÅêÏåß	"1,680"	"2,760"	"1,870"	"1,240"	"1,600"	"2,340"	"3,440"	"3,380"	"3,370"	"4,570"	"7,740"	"2,600"	"2,380"	"2,800"	"4,470"	"5,140"	"2,540"	"2,980"	"3,880"	"3,390"	"3,740"	"3,320"	"6,320"	"2,150"	"2,540"	"3,890"	"6,200"	"7,140"	"7,530"	"6,310"	"7,450"	"9,900"	"9,150"	"14,980"	"13,600"	"7,150"	"4,350"	"5,640"	"8,450"	"15,330"	"13,380"	"11,810"	"11,630"	"10,300"	"12,520"	"19,310"	"17,930"	"12,070"	"8,510"	"12,260"	"15,790"	"24,300"	"19,920"	"16,850"	"21,580"	"21,450"	"15,580"	"21,360"	"19,700"	"13,180"	"13,040"	"18,170"	"24,150"	"34,110"	"24,960"	"22,810"	"33,460"	"35,880"	"32,890"	"50,070"	"45,620"	"23,210"	"23,350"	"22,270"	"34,720"	"51,850"	"40,400"	"38,640"	"40,600"	"32,470"	"39,250"
à§ïQåß	"3,920"	"4,170"	"3,170"	"2,080"	"2,820"	"1,740"	"2,680"	"2,920"	"3,280"	"4,830"	"4,720"	"2,590"	"4,990"	"3,890"	"7,450"	"6,730"	"6,210"	"3,360"	"5,080"	"7,450"	"3,610"	"4,770"	"5,340"	"3,790"	"2,510"	"3,670"	"5,370"	"6,180"	"6,380"	"4,830"	"6,080"	"7,440"	"4,990"	"6,320"	"7,790"	"5,460"	"2,850"	"3,200"	"5,530"	"6,870"	"5,530"	"4,230"	"4,620"	"5,360"	"4,080"	"8,040"	"8,230"	"5,560"	"5,440"	"7,550"	"7,610"	"11,700"	"8,830"	"6,980"	"7,080"	"8,770"	"8,300"	"14,240"	"12,750"	"7,620"	"8,510"	"10,180"	"11,140"	"13,150"	"13,920"	"10,350"	"13,070"	"14,370"	"12,330"	"15,630"	"15,250"	"8,810"	"9,450"	"9,330"	"14,280"	"19,300"	"15,620"	"16,460"	"12,600"	"14,230"	"9,910"
çÇímåß	"2,550"	"2,600"	"1,240"	500	760	810	"1,030"	"1,130"	"1,050"	"1,390"	"2,470"	950	"4,720"	"3,510"	"5,210"	"5,810"	900	"4,260"	"1,100"	"1,070"	870	"2,840"	"2,720"	630	"2,010"	"2,620"	"1,510"	"2,250"	"1,510"	"1,730"	"1,690"	"1,630"	"1,000"	"2,620"	"4,930"	"1,330"	"2,440"	"3,250"	"3,100"	"3,570"	"2,920"	"2,210"	"2,400"	"3,400"	"2,910"	"3,820"	"6,050"	"2,510"	"8,100"	"5,650"	"3,800"	"6,130"	"4,510"	"3,490"	"3,760"	"6,100"	"5,080"	"8,500"	"7,590"	"3,190"	"5,790"	"4,760"	"6,150"	"7,430"	"6,250"	"5,130"	"7,390"	"7,510"	"4,830"	"6,620"	"9,000"	"4,530"	"2,430"	"4,160"	"5,020"	"7,650"	"6,330"	"6,250"	"6,580"	"8,800"	"6,260"
ïüâ™åß	"61,800"	"58,000"	"32,870"	"21,340"	"37,180"	"39,440"	"61,960"	"62,610"	"57,940"	"56,130"	"57,340"	"57,550"	"56,420"	"50,130"	"60,830"	"66,270"	"53,030"	"51,210"	"76,010"	"81,770"	"63,570"	"63,510"	"67,230"	"68,760"	"59,200"	"68,120"	"75,590"	"85,730"	"81,440"	"70,590"	"86,470"	"78,190"	"66,530"	"70,640"	"78,200"	"79,360"	"90,970"	"87,730"	"96,180"	"110,440"	"98,470"	"100,500"	"115,930"	"118,830"	"98,680"	"138,480"	"137,570"	"163,530"	"146,640"	"152,770"	"166,370"	"196,080"	"182,090"	"172,110"	"213,690"	"258,080"	"189,060"	"225,380"	"222,050"	"235,380"	"251,720"	"250,040"	"240,860"	"228,390"	"183,020"	"224,970"	"212,010"	"215,250"	"213,880"	"214,260"	"215,010"	"224,700"	"276,700"	"268,140"	"237,480"	"270,060"	"279,050"	"241,960"	"286,010"	"278,850"	"221,840"
ç≤âÍåß	"5,510"	"5,000"	"2,260"	"1,030"	"1,450"	"3,180"	"3,990"	"2,570"	"1,730"	"2,640"	"4,550"	"2,950"	"3,380"	"2,780"	"3,210"	"3,500"	"3,180"	"2,540"	"2,920"	"2,820"	"2,210"	"3,560"	"6,050"	"4,790"	"3,940"	"4,520"	"4,190"	"4,150"	"4,300"	"5,440"	"4,790"	"3,960"	"4,130"	"3,830"	"4,850"	"7,460"	"7,490"	"7,890"	"7,760"	"5,990"	"6,890"	"4,540"	"8,410"	"7,780"	"6,950"	"8,360"	"9,880"	"9,000"	"9,130"	"12,700"	"13,580"	"14,860"	"14,770"	"17,930"	"19,760"	"14,380"	"11,510"	"20,600"	"20,270"	"21,640"	"20,240"	"23,550"	"19,330"	"17,250"	"14,250"	"19,310"	"19,940"	"18,940"	"17,470"	"25,770"	"29,060"	"24,520"	"30,370"	"30,430"	"29,840"	"35,210"	"28,230"	"28,120"	"33,510"	"33,080"	"30,180"
í∑çËåß	"43,010"	"34,580"	"12,710"	"11,430"	"15,180"	"15,450"	"25,250"	"32,540"	"21,640"	"21,510"	"23,140"	"20,380"	"37,300"	"31,780"	"41,040"	"49,900"	"43,230"	"41,220"	"37,800"	"36,590"	"20,630"	"28,550"	"24,360"	"26,420"	"24,230"	"33,570"	"37,190"	"36,950"	"33,580"	"27,750"	"45,570"	"40,290"	"32,020"	"38,060"	"38,710"	"37,070"	"34,820"	"35,220"	"36,690"	"46,340"	"41,120"	"45,570"	"45,550"	"39,750"	"31,660"	"43,780"	"47,930"	"44,080"	"52,250"	"59,270"	"70,690"	"81,730"	"79,040"	"63,250"	"81,290"	"74,490"	"70,570"	"80,280"	"85,200"	"74,150"	"73,730"	"79,380"	"68,170"	"66,190"	"55,140"	"53,730"	"67,360"	"51,800"	"49,630"	"53,830"	"54,680"	"51,780"	"53,200"	"53,410"	"58,040"	"80,800"	"75,140"	"69,050"	"80,460"	"69,720"	"56,830"
åFñ{åß	"52,560"	"46,490"	"20,750"	"4,500"	"8,470"	"9,890"	"23,130"	"21,220"	"19,970"	"14,590"	"14,080"	"14,750"	"31,850"	"37,580"	"36,790"	"20,590"	"15,230"	"17,260"	"25,350"	"30,140"	"20,850"	"27,020"	"32,390"	"30,880"	"26,010"	"30,530"	"36,980"	"40,970"	"35,840"	"40,600"	"42,860"	"40,080"	"31,190"	"31,430"	"35,380"	"29,450"	"36,480"	"41,230"	"42,570"	"43,290"	"34,960"	"38,500"	"37,670"	"33,730"	"29,710"	"41,170"	"49,190"	"46,900"	"46,550"	"55,120"	"60,780"	"56,250"	"55,040"	"46,260"	"58,420"	"62,010"	"54,260"	"71,460"	"73,680"	"74,900"	"74,050"	"89,420"	"83,960"	"53,280"	"8,650"	"14,940"	"16,760"	"23,760"	"26,560"	"34,020"	"46,550"	"46,750"	"52,280"	"60,470"	"65,510"	"74,840"	"59,440"	"59,210"	"70,460"	"66,940"	"53,220"
ëÂï™åß	"64,600"	"60,470"	"16,190"	"7,070"	"12,380"	"17,200"	"17,020"	"22,680"	"25,030"	"42,090"	"38,640"	"35,500"	"30,560"	"26,800"	"25,420"	"25,040"	"20,720"	"18,800"	"26,230"	"24,280"	"19,710"	"30,120"	"34,390"	"28,260"	"41,650"	"45,540"	"38,900"	"37,300"	"33,150"	"27,920"	"28,480"	"22,870"	"24,190"	"33,030"	"36,800"	"39,820"	"36,520"	"40,700"	"29,650"	"32,370"	"23,620"	"26,750"	"29,480"	"26,310"	"36,760"	"35,100"	"41,300"	"41,840"	"60,130"	"64,330"	"62,070"	"76,030"	"62,130"	"44,730"	"51,010"	"55,330"	"52,190"	"76,990"	"82,090"	"86,970"	"99,960"	"91,970"	"76,200"	"58,370"	"21,030"	"36,600"	"46,480"	"58,300"	"74,600"	"78,570"	"87,140"	"97,780"	"135,880"	"133,570"	"122,230"	"116,640"	"110,690"	"94,050"	"82,400"	"81,750"	"84,890"
ã{çËåß	"9,340"	"5,370"	"1,380"	840	"1,160"	"1,810"	"2,820"	"2,890"	"1,750"	"2,900"	"8,430"	"3,290"	"32,410"	"10,240"	"8,380"	"6,800"	"5,830"	"6,880"	"27,880"	"16,850"	"4,910"	"12,830"	"11,680"	"8,530"	"17,020"	"16,650"	"13,620"	"7,380"	"5,090"	"10,640"	"9,160"	"12,430"	"8,730"	"14,070"	"12,090"	"10,120"	"13,880"	"15,540"	"11,700"	"12,500"	"11,320"	"11,980"	"8,980"	"12,170"	"12,390"	"15,830"	"17,200"	"17,540"	"16,400"	"15,850"	"15,600"	"20,410"	"16,530"	"14,620"	"13,380"	"17,420"	"12,510"	"21,360"	"18,550"	"19,260"	"24,210"	"22,980"	"23,620"	"17,130"	"9,960"	"10,730"	"17,420"	"17,760"	"18,250"	"26,470"	"30,470"	"26,170"	"21,740"	"20,710"	"30,740"	"28,140"	"22,780"	"19,680"	"19,750"	"20,780"	"25,350"
é≠éôìáåß	"13,040"	"13,730"	"4,950"	"2,830"	"3,420"	"4,970"	"7,230"	"7,900"	"5,680"	"8,410"	"10,960"	"9,770"	"14,400"	"23,330"	"14,810"	"13,960"	"11,140"	"9,220"	"14,230"	"15,700"	"10,220"	"13,070"	"17,290"	"13,210"	"16,940"	"24,350"	"16,140"	"17,990"	"15,960"	"15,370"	"18,480"	"15,130"	"12,710"	"18,250"	"24,200"	"19,300"	"18,130"	"25,260"	"24,490"	"22,590"	"18,340"	"15,890"	"18,550"	"20,460"	"17,670"	"27,530"	"29,770"	"27,340"	"22,820"	"33,940"	"37,950"	"40,040"	"33,000"	"27,540"	"32,610"	"33,360"	"27,060"	"38,600"	"50,470"	"38,320"	"34,710"	"38,860"	"43,200"	"36,470"	"27,450"	"29,840"	"38,980"	"46,020"	"40,630"	"49,480"	"49,000"	"46,280"	"45,670"	"62,750"	"70,710"	"67,710"	"67,850"	"50,410"	"52,050"	"52,850"	"47,930"
â´ìÍåß	"40,280"	"54,070"	"33,520"	"23,500"	"24,870"	"36,160"	"59,950"	"65,440"	"59,220"	"79,750"	"42,460"	"41,550"	"55,970"	"47,930"	"49,220"	"64,180"	"80,040"	"82,790"	"98,390"	"83,110"	"64,160"	"61,460"	"47,770"	"46,200"	"46,630"	"79,920"	"72,050"	"108,310"	"137,730"	"167,810"	"170,770"	"158,330"	"138,270"	"173,520"	"121,740"	"112,680"	"141,900"	"168,450"	"153,010"	"170,200"	"177,130"	"241,580"	"254,410"	"232,920"	"236,440"	"212,110"	"190,580"	"209,830"	"225,380"	"259,810"	"223,190"	"290,490"	"307,180"	"357,110"	"356,760"	"364,410"	"339,430"	"356,540"	"297,910"	"306,700"	"324,030"	"325,310"	"293,750"	"280,390"	"304,760"	"349,210"	"393,900"	"359,990"	"338,820"	"358,930"	"248,500"	"282,200"	"355,650"	"297,220"	"333,710"	"373,630"	"403,380"	"461,390"	"447,770"	"429,530"	"391,290"
